Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/Page_Register/input_block px-2 py-3 mt-2 h-52px rounded-l_5154ab_1""), "" "")",Chrome 120.0.0.0,,,24-01-2024 02:51:04,24-01-2024 02:51:04,"0,693s",PASSED
"setText(findTestObject(""Object Repository/Page_Register/input_block px-2 py-3 mt-2 h-52px rounded-l_5154ab_1_2""), "" "")",Chrome 120.0.0.0,,,24-01-2024 02:51:04,24-01-2024 02:51:05,"0,695s",PASSED
"setText(findTestObject(""Object Repository/Page_Register/input_block px-2 py-3 mt-2 h-52px rounded-l_5154ab_1_2_3""), "" "")",Chrome 120.0.0.0,,,24-01-2024 02:51:05,24-01-2024 02:51:06,"0,668s",PASSED
"click(findTestObject(""Object Repository/Page_Register/button_Register""))",Chrome 120.0.0.0,,,24-01-2024 02:51:06,24-01-2024 02:51:06,"0,361s",PASSED
,,,,,,,
Test Cases/Register/Register - Name contains special characters,Chrome 120.0.0.0,,Negative,24-01-2024 02:51:06,24-01-2024 02:51:12,"6,085s",PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,24-01-2024 02:51:06,24-01-2024 02:51:08,"1,460s",PASSED
"navigateToUrl(""https://qa-interview-test-1.vercel.app/"")",Chrome 120.0.0.0,,,24-01-2024 02:51:08,24-01-2024 02:51:08,"0,425s",PASSED
"click(findTestObject(""Object Repository/Page_Login Page/a_Register""))",Chrome 120.0.0.0,,,24-01-2024 02:51:08,24-01-2024 02:51:09,"0,662s",PASSED
"setText(findTestObject(""Object Repository/Page_Register/input_block px-2 py-3 mt-2 h-52px rounded-l_5154ab""), ""safarina lutfi01:&"")",Chrome 120.0.0.0,,,24-01-2024 02:51:09,24-01-2024 02:51:10,"0,878s",PASSED
"setText(findTestObject(""Object Repository/Page_Register/input_block px-2 py-3 mt-2 h-52px rounded-l_5154ab_1""), ""safarinalutfi"")",Chrome 120.0.0.0,,,24-01-2024 02:51:10,24-01-2024 02:51:10,"0,723s",PASSED
"setText(findTestObject(""Object Repository/Page_Register/input_block px-2 py-3 mt-2 h-52px rounded-l_5154ab_1_2""), ""safarina01"")",Chrome 120.0.0.0,,,24-01-2024 02:51:10,24-01-2024 02:51:11,"0,730s",PASSED
"setText(findTestObject(""Object Repository/Page_Register/input_block px-2 py-3 mt-2 h-52px rounded-l_5154ab_1_2_3""), ""safarina01"")",Chrome 120.0.0.0,,,24-01-2024 02:51:11,24-01-2024 02:51:12,"0,681s",PASSED
"click(findTestObject(""Object Repository/Page_Register/button_Register""))",Chrome 120.0.0.0,,,24-01-2024 02:51:12,24-01-2024 02:51:12,"0,412s",PASSED
,,,,,,,
Test Cases/Register/Register - Password doesnt match with confirm password,Chrome 120.0.0.0,,,24-01-2024 02:51:12,24-01-2024 02:51:18,"6,044s",PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,24-01-2024 02:51:12,24-01-2024 02:51:14,"1,466s",PASSED
"navigateToUrl(""https://qa-interview-test-1.vercel.app/"")",Chrome 120.0.0.0,,,24-01-2024 02:51:14,24-01-2024 02:51:14,"0,368s",PASSED
"click(findTestObject(""Object Repository/Page_Login Page/a_Register""))",Chrome 120.0.0.0,,,24-01-2024 02:51:14,24-01-2024 02:51:15,"0,770s",PASSED
"setText(findTestObject(""Object Repository/Page_Register/input_block px-2 py-3 mt-2 h-52px rounded-l_5154ab""), ""safarina lutfi"")",Chrome 120.0.0.0,,,24-01-2024 02:51:15,24-01-2024 02:51:16,"0,851s",PASSED
"setText(findTestObject(""Object Repository/Page_Register/input_block px-2 py-3 mt-2 h-52px rounded-l_5154ab_1""), ""safarina01"")",Chrome 120.0.0.0,,,24-01-2024 02:51:16,24-01-2024 02:51:17,"0,691s",PASSED
"setText(findTestObject(""Object Repository/Page_Register/input_block px-2 py-3 mt-2 h-52px rounded-l_5154ab_1_2""), ""safarina01"")",Chrome 120.0.0.0,,,24-01-2024 02:51:17,24-01-2024 02:51:17,"0,688s",PASSED
"setText(findTestObject(""Object Repository/Page_Register/input_block px-2 py-3 mt-2 h-52px rounded-l_5154ab_1_2_3""), ""safarina02"")",Chrome 120.0.0.0,,,24-01-2024 02:51:17,24-01-2024 02:51:18,"0,687s",PASSED
"click(findTestObject(""Object Repository/Page_Register/button_Register""))",Chrome 120.0.0.0,,,24-01-2024 02:51:18,24-01-2024 02:51:18,"0,365s",PASSED
